Date,Pred,Close
09-06-08,25.944286,25.944286
10-06-08,25.82053888,26.52
11-06-08,25.61923692,25.83
12-06-08,25.46649622,24.751429
13-06-08,25.57223633,24.624287
16-06-08,25.62922524,25.262857
17-06-08,25.29101765,25.918571
18-06-08,24.81709832,25.535715
19-06-08,24.72762763,25.842857
20-06-08,24.84779898,25.038572
23-06-08,24.83822244,24.737143
24-06-08,24.63956342,24.75
25-06-08,24.41052171,25.341429
26-06-08,24.22114973,24.037144
27-06-08,24.27970325,24.298571
30-06-08,24.29657134,23.92
01-07-08,24.09798231,24.954287
02-07-08,23.72400365,24.025715
03-07-08,23.63117135,24.302856
07-07-08,23.71971471,25.022858
08-07-08,23.51981982,25.65
09-07-08,23.08799902,24.892857
10-07-08,22.98369259,25.232857
11-07-08,23.09876955,24.654285
14-07-08,23.08211744,24.84
15-07-08,22.81589284,24.234285
16-07-08,22.63307392,24.687143
17-07-08,22.57900272,24.544285
18-07-08,22.51452447,23.592857
21-07-08,22.48478527,23.755714
22-07-08,22.38084476,23.145714
23-07-08,22.26302827,23.751429
24-07-08,22.08931193,22.718571
25-07-08,22.04763568,23.16
28-07-08,21.99644492,22.057142
29-07-08,21.9555488,22.440001
30-07-08,21.82376416,22.84
31-07-08,21.5682312,22.707144
01-08-08,21.41408881,22.379999
04-08-08,21.44120759,21.889999
05-08-08,21.47992973,22.948572
06-08-08,21.19466789,23.455715
07-08-08,20.79105296,23.367144
08-08-08,20.70237266,24.221428
11-08-08,20.7227371,24.794285
12-08-08,20.52176294,25.247143
13-08-08,20.20561025,25.614286
14-08-08,20.04120512,25.617144
15-08-08,20.05396163,25.105715
18-08-08,20.07830902,25.055714
19-08-08,19.94660958,24.790001
20-08-08,19.76149509,25.120001
21-08-08,19.62746853,24.898571
22-08-08,19.57931199,25.255714
25-08-08,19.48508025,24.65
26-08-08,19.38499025,24.805714
27-08-08,19.28569247,24.952858
28-08-08,19.15643592,24.82
29-08-08,19.04796484,24.218571
02-09-08,19.03143629,23.741428
03-09-08,19.03780907,23.851429
04-09-08,18.91278515,23.031429
05-09-08,18.80347486,22.882856
08-09-08,18.77355466,22.559999
09-09-08,18.74215261,21.668571
10-09-08,18.72423525,21.658571
11-09-08,18.64191241,21.807142
12-09-08,18.46671029,21.277143
15-09-08,18.3832975,20.051428
16-09-08,18.52048213,19.982857
17-09-08,18.55537564,18.261429
18-09-08,18.53978391,19.155714
19-09-08,18.3460987,20.129999
22-09-08,17.98122449,18.721428
23-09-08,17.99491197,18.120001
24-09-08,18.29641799,18.387142
25-09-08,18.23211515,18.847143
26-09-08,17.76323109,18.32
29-09-08,17.57263741,15.037143
30-09-08,18.23730076,16.237143
01-10-08,18.4834175,15.588572
02-10-08,17.90379421,14.3
03-10-08,17.65943941,13.867143
06-10-08,18.05117598,14.02
07-10-08,18.22575112,12.737143
08-10-08,18.04793102,12.827143
09-10-08,17.80913637,12.677143
10-10-08,17.7511136,13.828571
13-10-08,17.58121179,15.751429
14-10-08,17.04126027,14.868571
15-10-08,16.8677035,13.992857
16-10-08,17.28990435,14.555715
17-10-08,17.39038036,13.914286
20-10-08,17.01727236,14.062857
21-10-08,16.72101238,13.07
22-10-08,16.93381806,13.838572
23-10-08,17.03956107,14.032857
24-10-08,16.68100411,13.768572
27-10-08,16.39241128,13.155714
28-10-08,16.56508459,14.272857
29-10-08,16.57346179,14.935715
30-10-08,16.13132722,15.862857
31-10-08,15.69606445,15.37
03-11-08,15.77749704,15.28
